CustomerID,recency_days,frequency_invoices,monetary_value,country
12346.0,37,10,77387.1,United Kingdom
12347.0,28,2,1187.18,Iceland
12348.0,30,2,1120.24,Finland
12350.0,21,1,334.4,Norway
12352.0,8,1,296.5,Norway
12356.0,37,1,2271.62,Portugal
12358.0,443,1,1429.83,Austria
12359.0,16,4,3225.3,Cyprus
12360.0,367,1,118.00000000000001,Austria
12361.0,393,1,109.19999999999999,Belgium
12362.0,7,2,609.1,Belgium
12365.0,2,2,641.38,Cyprus
12370.0,69,3,2430.98,Cyprus
12372.0,8,1,399.22,Denmark
12373.0,23,2,802.5,Austria
12377.0,26,2,1628.12,Switzerland
12380.0,374,2,3017.3,Belgium
12383.0,42,2,1251.88,Belgium
12386.0,49,2,401.9,Australia
12388.0,16,2,555.35,Australia
12389.0,367,1,164.85,Australia
12391.0,367,2,750.49,Cyprus
12393.0,41,2,639.5,Australia
12395.0,13,3,911.43,Belgium
12396.0,386,1,931.43,RSA
12401.0,14,1,84.3,Belgium
12402.0,34,2,417.3,Belgium
12404.0,393,1,63.24,Finland
12406.0,408,1,881.2,Denmark
12410.0,20,2,693.3299999999999,Switzerland
12413.0,48,1,479.25,France
12414.0,21,1,153.76,Austria
12415.0,9,3,21115.9,Australia
12416.0,368,1,202.56,Australia
12417.0,30,5,1336.93,Belgium
12421.0,30,1,157.45,Spain
12422.0,36,3,975.75,Australia
12423.0,3,2,430.24,Belgium
12426.0,374,1,762.48,Germany
12427.0,83,1,303.5,Germany
12429.0,77,1,1281.5,Denmark
12431.0,7,6,2919.0,Belgium
12433.0,77,2,3787.12,Norway
12435.0,448,1,1008.0,Denmark
12437.0,21,6,3616.87,France
12439.0,394,2,1158.18,Cyprus
12440.0,429,1,568.51,Austria
12441.0,78,1,173.55,France
12443.0,443,1,485.31,Norway
12451.0,36,1,2919.5099999999998,Switzerland
12455.0,6,3,3335.33,Cyprus
12462.0,14,1,762.11,Spain
12464.0,21,1,213.89999999999998,Belgium
12466.0,393,1,56.73,France
12468.0,28,2,661.82,Germany
12470.0,401,1,211.95,Unspecified
12471.0,21,19,10246.02,Germany
12472.0,29,4,4492.07,Germany
12474.0,28,4,758.5,Germany
12476.0,10,3,722.23,Germany
12477.0,13,1,2355.9500000000003,Germany
12480.0,47,1,816.25,Germany
12481.0,48,3,1394.43,Germany
12483.0,50,3,936.6600000000001,Sweden
12484.0,47,3,1800.47,Spain
12487.0,442,1,285.29999999999995,Sweden
12489.0,48,1,334.93,France
12490.0,41,5,2373.68,France
12494.0,7,3,312.55,France
12500.0,7,5,1244.8,Germany
12501.0,48,1,2169.39,Germany
12502.0,21,1,617.25,Spain
12507.0,10,1,446.16,Spain
12510.0,36,6,3665.38,Spain
12515.0,64,1,383.7,Italy
12523.0,2,5,858.09,France
12524.0,3,3,1421.6299999999999,Germany
12527.0,6,2,284.92,Germany
12528.0,24,1,493.53000000000003,Germany
12530.0,48,1,387.40000000000003,Germany
12531.0,397,1,1807.98,Germany
12533.0,450,1,929.92,Germany
12539.0,28,4,8580.76,Spain
12540.0,22,7,3982.05,Spain
12549.0,393,4,1159.3700000000001,USA
12551.0,69,1,168.0,Spain
12553.0,5,2,706.61,France
12555.0,393,1,129.23,Spain
12557.0,44,3,5989.76,Spain
12559.0,22,2,561.71,Germany
12561.0,14,1,238.85,Germany
12567.0,20,4,3701.39,France
12570.0,393,1,77.52,Spain
12574.0,27,1,218.45,France
12576.0,16,1,266.85,Poland
12577.0,70,2,406.44,France
12578.0,41,1,1608.66,Italy
12583.0,13,4,2725.02,France
12585.0,63,1,1262.85,Germany
12586.0,435,1,422.35,Italy
12589.0,401,1,715.5,France
12591.0,28,1,452.84999999999997,Italy
12594.0,6,2,597.0,Italy
12599.0,16,1,201.86,France
12600.0,21,8,1835.8100000000002,Germany
12601.0,14,2,257.36,Germany
12606.0,393,1,21.0,Spain
12609.0,29,2,618.53,Germany
12613.0,437,1,1350.81,Germany
12616.0,8,1,255.6,France
12621.0,2,5,3193.33,Germany
12623.0,408,1,1579.72,Germany
12625.0,31,1,1716.62,Germany
12626.0,27,2,1274.1,Germany
12631.0,404,1,738.1800000000001,Finland
12636.0,450,1,141.0,USA
12637.0,35,1,1516.68,France
12643.0,44,1,871.1999999999999,France
12644.0,381,2,868.13,Germany
12645.0,28,2,742.9499999999999,Germany
12647.0,69,8,3765.03,Germany
12648.0,412,1,205.75,Germany
12649.0,405,2,385.5,Germany
12651.0,46,1,114.0,France
12652.0,42,1,919.98,France
12653.0,8,1,779.1,Israel
12654.0,7,1,166.6,Germany
12662.0,20,2,598.1800000000001,Germany
12663.0,379,1,153.75,Germany
12664.0,34,2,1210.66,Finland
12665.0,36,2,231.8,Germany
12668.0,24,3,3235.41,Germany
12670.0,378,1,225.60000000000002,France
12672.0,41,1,225.89999999999998,France
12673.0,38,1,220.9,Germany
12676.0,22,1,509.5,Sweden
12677.0,377,1,190.7,France
12678.0,64,4,2531.58,France
12681.0,23,11,8601.72,France
12682.0,22,11,5905.64,France
12683.0,37,6,3352.88,France
12686.0,83,1,89.14,France
12691.0,29,3,406.2,France
12693.0,31,1,162.05,Germany
12695.0,377,1,493.66,France
12703.0,396,1,557.53,Germany
12705.0,68,1,858.0,Germany
12707.0,3,1,603.42,France
12708.0,41,4,1010.1800000000001,Germany
12709.0,30,8,6033.2699999999995,Germany
12711.0,388,1,549.3,Germany
12712.0,23,6,1597.81,Germany
12714.0,6,3,3621.14,France
12720.0,15,4,1105.33,Germany
12721.0,15,2,741.62,France
12724.0,43,1,154.9,France
12725.0,82,1,427.8,Italy
12726.0,27,2,571.86,France
12727.0,8,3,2193.48,France
12728.0,44,1,252.54,France
12731.0,24,2,4246.33,France
12733.0,401,1,1130.22,USA
12734.0,64,1,110.39999999999999,France
12735.0,27,2,779.5699999999999,France
12736.0,44,1,234.0,France
12738.0,83,1,155.35,Germany
12744.0,30,1,2053.07,Singapore
12745.0,393,1,201.56,EIRE
12747.0,34,8,2301.31,United Kingdom
12748.0,1,62,8689.38,United Kingdom
12753.0,15,2,9325.83,Japan
12754.0,20,1,45.57,Japan
12755.0,77,3,3831.41,Japan
12758.0,449,1,2454.68,Portugal
12759.0,447,1,508.26,Netherlands
12763.0,80,1,320.08,Japan
12764.0,28,1,1693.88,Lebanon
12766.0,3,3,2809.42,Portugal
12775.0,22,1,214.45,Netherlands
12776.0,379,1,55.5,Portugal
12778.0,23,1,134.48,Netherlands
12779.0,20,4,1570.4,Poland
12782.0,29,2,1147.43,Portugal
12785.0,75,2,678.85,Portugal
12789.0,405,1,89.25,Netherlands
12791.0,85,1,192.60000000000002,Netherlands
12793.0,46,2,545.48,Portugal
12797.0,77,1,254.03,Portugal
12800.0,388,2,403.33000000000004,Portugal
12805.0,386,1,266.5,Netherlands
12808.0,80,1,129.4,Portugal
12810.0,388,1,159.66,Japan
12813.0,404,1,244.2,Netherlands
12820.0,38,3,653.75,United Kingdom
12823.0,8,2,722.5,United Kingdom
12826.0,28,4,1155.3,United Kingdom
12829.0,48,2,293.0,United Kingdom
12835.0,373,13,2031.55,United Kingdom
12836.0,23,4,1870.91,United Kingdom
12838.0,85,1,390.79,United Kingdom
