CustomerID,Recency,Frequency,Monetary,country,cluster,segment_name
12346.0,37,10,77387.1,United Kingdom,2,Champions (2)
12347.0,28,2,1187.18,Iceland,1,Champions
12348.0,30,2,1120.24,Finland,1,Champions
12350.0,21,1,334.4,Norway,3,At Risk / Lost (3)
12352.0,8,1,296.5,Norway,3,At Risk / Lost (3)
12356.0,37,1,2271.62,Portugal,1,Champions
12358.0,443,1,1429.83,Austria,0,At Risk / Lost
12359.0,16,4,3225.3,Cyprus,1,Champions
12360.0,367,1,118.0,Austria,0,At Risk / Lost
12361.0,393,1,109.2,Belgium,0,At Risk / Lost
12362.0,7,2,609.1,Belgium,1,Champions
12365.0,2,2,641.38,Cyprus,1,Champions
12370.0,69,3,2430.98,Cyprus,1,Champions
12372.0,8,1,399.22,Denmark,3,At Risk / Lost (3)
12373.0,23,2,802.5,Austria,1,Champions
12377.0,26,2,1628.12,Switzerland,1,Champions
12380.0,374,2,3017.3,Belgium,1,Champions
12383.0,42,2,1251.88,Belgium,1,Champions
12386.0,49,2,401.9,Australia,3,At Risk / Lost (3)
12388.0,16,2,555.35,Australia,1,Champions
12389.0,367,1,164.85,Australia,0,At Risk / Lost
12391.0,367,2,750.49,Cyprus,0,At Risk / Lost
12393.0,41,2,639.5,Australia,1,Champions
12395.0,13,3,911.43,Belgium,1,Champions
12396.0,386,1,931.43,RSA,0,At Risk / Lost
12401.0,14,1,84.3,Belgium,3,At Risk / Lost (3)
12402.0,34,2,417.3,Belgium,3,At Risk / Lost (3)
12404.0,393,1,63.24,Finland,0,At Risk / Lost
12406.0,408,1,881.2,Denmark,0,At Risk / Lost
12410.0,20,2,693.3299999999999,Switzerland,1,Champions
12413.0,48,1,479.25,France,3,At Risk / Lost (3)
12414.0,21,1,153.76,Austria,3,At Risk / Lost (3)
12415.0,9,3,21115.9,Australia,2,Champions (2)
12416.0,368,1,202.56,Australia,0,At Risk / Lost
12417.0,30,5,1336.93,Belgium,1,Champions
12421.0,30,1,157.45,Spain,3,At Risk / Lost (3)
12422.0,36,3,975.75,Australia,1,Champions
12423.0,3,2,430.24,Belgium,3,At Risk / Lost (3)
12426.0,374,1,762.48,Germany,0,At Risk / Lost
12427.0,83,1,303.5,Germany,3,At Risk / Lost (3)
12429.0,77,1,1281.5,Denmark,1,Champions
12431.0,7,6,2919.0,Belgium,2,Champions (2)
12433.0,77,2,3787.12,Norway,1,Champions
12435.0,448,1,1008.0,Denmark,0,At Risk / Lost
12437.0,21,6,3616.87,France,2,Champions (2)
12439.0,394,2,1158.18,Cyprus,0,At Risk / Lost
12440.0,429,1,568.51,Austria,0,At Risk / Lost
12441.0,78,1,173.55,France,3,At Risk / Lost (3)
12443.0,443,1,485.31,Norway,0,At Risk / Lost
12451.0,36,1,2919.51,Switzerland,1,Champions
12455.0,6,3,3335.33,Cyprus,1,Champions
12462.0,14,1,762.11,Spain,3,At Risk / Lost (3)
12464.0,21,1,213.9,Belgium,3,At Risk / Lost (3)
12466.0,393,1,56.73,France,0,At Risk / Lost
12468.0,28,2,661.82,Germany,1,Champions
12470.0,401,1,211.95,Unspecified,0,At Risk / Lost
12471.0,21,19,10246.02,Germany,2,Champions (2)
12472.0,29,4,4492.07,Germany,1,Champions
12474.0,28,4,758.5,Germany,1,Champions
12476.0,10,3,722.23,Germany,1,Champions
12477.0,13,1,2355.9500000000003,Germany,1,Champions
12480.0,47,1,816.25,Germany,3,At Risk / Lost (3)
12481.0,48,3,1394.43,Germany,1,Champions
12483.0,50,3,936.66,Sweden,1,Champions
12484.0,47,3,1800.47,Spain,1,Champions
12487.0,442,1,285.29999999999995,Sweden,0,At Risk / Lost
12489.0,48,1,334.93,France,3,At Risk / Lost (3)
12490.0,41,5,2373.68,France,1,Champions
12494.0,7,3,312.55,France,1,Champions
12500.0,7,5,1244.8,Germany,1,Champions
12501.0,48,1,2169.39,Germany,1,Champions
12502.0,21,1,617.25,Spain,3,At Risk / Lost (3)
12507.0,10,1,446.16,Spain,3,At Risk / Lost (3)
12510.0,36,6,3665.38,Spain,2,Champions (2)
12515.0,64,1,383.7,Italy,3,At Risk / Lost (3)
12523.0,2,5,858.09,France,1,Champions
12524.0,3,3,1421.63,Germany,1,Champions
12527.0,6,2,284.92,Germany,3,At Risk / Lost (3)
12528.0,24,1,493.53,Germany,3,At Risk / Lost (3)
12530.0,48,1,387.4,Germany,3,At Risk / Lost (3)
12531.0,397,1,1807.98,Germany,0,At Risk / Lost
12533.0,450,1,929.92,Germany,0,At Risk / Lost
